genes,log2FC,AveExpr,EffSize,t,P.Value,adj.P.Val
SRSF3,4.649890989453258,12.020790715485349,9.739939701293821,13.00198065245913,1.0437078806929927e-05,0.001701243845529578
ILF3,4.082433723373118,12.24871376283399,6.1079246805975655,10.546350226632452,3.6063869116777994e-05,0.0019594702220116045
RPL27A,3.2404626251327375,10.678164070292743,6.697253761301111,10.749487265930563,3.2237656720442895e-05,0.0019594702220116045
ILF2,2.9093367493318425,13.197674067327346,4.6151010144130336,8.24562041339739,0.00015018050578497171,0.006119855610737597
RPL17,3.308481550471061,14.909315443540388,3.27762294336426,5.867360686981391,0.0009884368494233059,0.01464683695054535
HNRNPH1,1.7886151278241993,13.488555990483169,3.405661909213999,6.035060817370191,0.0008500077762776912,0.01464683695054535
FUS,1.8650158987903325,10.904341871461662,3.6652581570151463,6.252718330932066,0.0007020751977043278,0.01464683695054535
FUBP3,-1.9186756486831804,11.631699104437855,3.414461919544452,-6.306514534137794,0.0006701917905894372,0.01464683695054535
HIST1H1C,1.7502662956799817,12.778698269001021,3.1627006736529966,5.969151030942958,0.0009015971809081324,0.01464683695054535
RPS9,3.8272020123957056,12.155672108143026,3.5172318949648442,6.152672094179131,0.0007660838909693842,0.01464683695054535
RPL26,3.6332076273800062,12.394079382899536,3.74937159604219,6.746015520446562,0.00046356027347220583,0.01464683695054535
RPS11,1.9517559668740176,14.519982898966934,3.0790141680973155,5.5013429770544695,0.0013895439076627458,0.01887463807908563
CDKN2AIP,-2.1786411917592052,4.552156797592059,4.3043140904452,-5.366906589942642,0.0015811302251794923,0.019824940515712094
RPS6,2.243990580886903,13.45873479694807,2.650056057332609,5.114868293779877,0.002026793815829423,0.02359767085572828
RPL35,3.612906769783848,13.217696491852724,2.681476772134728,4.9007679632285885,0.0025191836059971205,0.02555004401800711
ADAR,3.248096292156454,11.387070904121952,2.7935388995036616,4.904620510761271,0.0025092076028644817,0.02555004401800711
HNRNPH2,3.4826019211907324,9.716891886079958,3.056169436310058,4.846442821432514,0.0026647285172154657,0.02555004401800711
U2AF2,-1.7918311876591506,11.348182282857634,2.5144452956596632,-4.790672568618228,0.0028240883746056926,0.025573689170040437
DHX9,1.9035577193159767,12.942956074239937,2.4061768638255843,4.703150655610195,0.003096302514457984,0.026563016308244813
EIF4A3,-1.1851981588605618,12.093196015999787,2.411243529568326,-4.590640105077295,0.003490653621448916,0.027878263105272912
PABPN1,-2.025899711256133,7.418340594808506,3.293062807855304,-4.564109844715851,0.0035916780687774916,0.027878263105272912
GNL3,2.586555711922962,9.288281787031448,3.2181712501307724,4.4980051102806575,0.0038579970230223685,0.02858425067057482
MAGOHB,-1.368228221346703,9.59035245755416,3.1406548417718816,-4.270092531995518,0.004961174827533461,0.03515963029947627
MAGOH,-1.5583639074010929,8.753225773053849,2.8565275950403195,-4.145460992891482,0.005711169917475944,0.038788362356190785
EFTUD2,-0.9571056255279853,11.619484577438104,2.2820772414082118,-3.9814584439910177,0.006898090918525819,0.0432457238353734
U2AF1L5,-2.0029173776803724,12.161638526343836,2.0107052802314787,-4.003756959248812,0.0067216386063126575,0.0432457238353734
VIM,-1.3248192783226624,13.614403122752691,2.357145816132536,-3.940124120161389,0.007238971678201264,0.043701940131363186
SF3B2,-0.9494987268172963,11.124362070802308,1.9974199816506668,-3.714062437006437,0.009467907366576562,0.05511674645542784
XRN2,-3.1717017826383476,7.605035935435888,2.716817893461054,-3.6775928726052474,0.009894189651097483,0.05561216941823757
YBX1,1.0235949316920134,12.053547873448236,1.890428229020784,3.3896384958259915,0.014109283023942019,0.07061954916464419
RPS4X,1.243598618185203,12.686971727640827,1.7051155788468126,3.379096905310676,0.014297209340081338,0.07061954916464419
PRPF3,-1.0063542994316919,10.199966224821003,2.293427837181609,-3.4309982660697553,0.013397686141519809,0.07061954916464419
SYNCRIP,-1.8185341140817437,7.7308621812281375,2.567080393028559,-3.427464871225652,0.013456913798512864,0.07061954916464419
SF1,-1.7944430478592093,7.796210365012761,2.5070275667746857,-3.2675906677306554,0.016461838623285808,0.07891999104692901
PTBP1,1.2289776451139893,12.628426992106665,1.6364222335011154,3.2395356410244696,0.017061210507721514,0.07945649465024592
KHSRP,-3.292196014630294,9.973113543363011,1.9112387078999145,-3.0687439959026057,0.021263707946846136,0.09627734431488667
SERPINB12,-1.604012113510347,6.465177908439173,2.2193104927715366,-3.0426289591600457,0.021999935254779876,0.0969186336899762
VDAC1,-1.0670635737857364,9.55596109497155,1.9003572835084899,-2.9872524527958655,0.023653984896888563,0.10146314574191674
RPS26,1.544904831417389,12.59578792345865,1.5093873907423836,2.8464352776604716,0.028495633164705738,0.11059019537731037
DDX41,-1.1760294989559483,9.661941785060273,1.7911343031438476,-2.86230998722799,0.027899992197291584,0.11059019537731037
RPS5,-1.3418496526261396,9.229282858649391,2.007857149666035,-2.8775095742324774,0.027342194806188973,0.11059019537731037
HNRNPF,1.9210726811752643,12.859747773250124,1.4819890195313383,2.896584381840432,0.026659080585431708,0.11059019537731037
RPL31,0.7443714867495288,11.941858965546315,1.4993549515866205,2.7603563294992948,0.03197183952888413,0.1211955777490259
H1FX,0.8578784965688993,12.764297660047914,1.4070425202686407,2.723642024468397,0.03359003659448146,0.12194950596886979
HIST1H4A,0.8591280645400303,14.9218726491457,1.5023554324544528,2.7219422188480538,0.0336670415251481,0.12194950596886979
SF3B1,-0.9021221851780794,9.946933690224196,1.6597785139642451,-2.5868233720687006,0.040431611497264944,0.1432685363924823
SF3B4,-1.1612331243192013,9.31589091785446,1.665351473788422,-2.51009897380982,0.044901019092454565,0.15572055557595946
SFPQ,2.6814576187974337,8.97586899926551,1.6746004190854051,2.4574423254942825,0.0482674100560047,0.16390807998184928
HSPA1B,-0.9110773558050687,7.801028169860576,1.7480055489868935,-2.439748663707619,0.049457192435070164,0.1645208646309477
RPS27A,-1.0368990466316657,10.540766894984415,1.3676698857404632,-2.4060441109424384,0.051809329852776226,0.16889841532005048
RBM22,-1.2271082443445547,8.267450148543299,1.663174721157251,-2.3242533136678114,0.05801558276694108,0.1787011933284358
SNRPD3,0.7865164688123087,13.800409734112073,1.1841333949655204,2.326291810198979,0.057851854516100254,0.1787011933284358
