Protein IDs,142_1,142_2,142_3,17_1,17_2,17_3,No Bait_1,No Bait_2,No Bait_3
sp|A0JLT2|MED19_HUMAN,0,8.26E+04,0,0,0,0,0,0,0
sp|A2RTX5|SYTC2_HUMAN,0,0,0,0,9.79E+03,8.07E+03,0,0,0
sp|A6NHQ2|FBLL1_HUMAN,1.83E+05,1.98E+05,0,1.67E+05,0,0,0,0,8.74E+04
sp|A6NKT7|RGPD3_HUMAN,0,0,0,0,0,0,0,0,8.34E+03
sp|A8K2U0|A2ML1_HUMAN,0,0,0,0,0,0,0,1.07E+04,0
sp|P62308|RUXG_HUMAN,7.84E+06,9.87E+06,6.81E+06,3.46E+06,3.86E+06,0,0,7.67E+06,9.81E+06
sp|P00761|TRYP_PIG,2.02E+08,2.53E+08,2.81E+07,3.46E+08,3.69E+07,3.04E+07,1.21E+07,2.05E+08,1.76E+08
sp|Q13765|NACA_HUMAN,6.95E+05,6.36E+05,0,3.91E+05,0,0,0,7.31E+05,6.14E+05
sp|E9PRG8|CK098_HUMAN,5.55E+06,6.56E+06,0,9.55E+06,0,0,0,2.17E+06,4.57E+06
sp|O00148|DX39A_HUMAN,7.68E+04,0,0,0,8.67E+04,0,0,0,7.46E+04
sp|O00161|SNP23_HUMAN,0,4.29E+04,0,8.63E+04,0,0,0,4.15E+04,0
sp|O00178|GTPB1_HUMAN,1.40E+05,4.05E+04,0,9.27E+04,0,0,0,3.08E+04,0
sp|O00231|PSD11_HUMAN,3.71E+05,1.86E+05,1.39E+06,7.00E+06,2.35E+05,2.49E+05,9.72E+04,4.60E+05,8.75E+05
sp|O00232|PSD12_HUMAN,6.43E+04,0,0,0,0,0,0,3.30E+04,0
sp|O00267|SPT5H_HUMAN,7.42E+04,0,0,0,0,3.60E+04,0,1.54E+05,0
sp|O00303|EIF3F_HUMAN,9.08E+05,3.82E+05,0,3.37E+05,0,0,0,6.05E+05,3.26E+05
sp|O00330|ODPX_HUMAN,1.28E+05,0,0,3.68E+04,0,0,0,5.05E+04,3.01E+04
sp|O00410|IPO5_HUMAN,0,3.58E+04,0,0,0,0,0,2.05E+04,3.11E+04
sp|O00422|SAP18_HUMAN,2.40E+05,2.51E+05,0,0,0,0,0,4.41E+05,2.31E+06
sp|O00425|IF2B3_HUMAN,1.07E+06,1.43E+06,0,9.81E+05,1.22E+04,1.22E+05,0,5.17E+05,6.40E+05
sp|O00472|ELL2_HUMAN,6.47E+05,2.01E+06,7.92E+04,3.09E+05,1.12E+05,0,6.68E+03,8.43E+04,0
sp|O00483|NDUA4_HUMAN,9.34E+05,0,0,5.83E+05,0,0,0,4.39E+05,1.02E+06
sp|O00487|PSDE_HUMAN,1.01E+05,7.64E+04,0,0,0,0,0,5.47E+04,0
sp|O00541|PESC_HUMAN,0,3.32E+04,0,0,0,0,0,0,0
sp|O00567|NOP56_HUMAN,8.15E+04,3.40E+04,0,1.56E+05,0,0,0,1.30E+05,7.13E+04
sp|O00571|DDX3X_HUMAN,1.96E+06,2.18E+06,1.22E+05,2.24E+06,3.72E+04,5.31E+05,0,1.17E+06,1.57E+06
sp|O00629|IMA3_HUMAN,0,0,0,0,0,0,0,0,5.71E+04
sp|O14579|COPE_HUMAN,7.24E+04,4.34E+04,0,0,0,0,0,0,6.70E+04
sp|O14654|IRS4_HUMAN,2.22E+04,2.26E+04,0,2.85E+04,0,0,0,1.21E+04,0
sp|O14776|TCRG1_HUMAN,3.25E+05,1.89E+05,0,4.70E+05,0,0,0,8.72E+05,5.70E+05
sp|O14925|TIM23_HUMAN,8.77E+04,1.55E+05,0,7.96E+04,0,0,0,0,9.45E+04
sp|O14929|HAT1_HUMAN,0,0,0,0,0,0,0,0,0
sp|P19105|ML12A_HUMAN,9.36E+04,1.29E+05,0,2.41E+05,0,0,0,0,0
sp|O14979|HNRDL_HUMAN,3.88E+05,2.70E+05,0,5.37E+05,0,4.67E+05,0,5.41E+05,5.97E+05
sp|O15042|SR140_HUMAN,1.85E+05,9.25E+04,0,3.99E+05,2.82E+03,1.47E+05,0,5.66E+05,1.76E+05
sp|O15160|RPAC1_HUMAN,0,6.69E+04,0,5.28E+04,3.04E+04,5.35E+04,0,6.78E+04,0
sp|O15226|NKRF_HUMAN,5.54E+05,3.34E+05,0,4.94E+05,0,2.02E+05,0,2.63E+05,3.22E+05
sp|O15294|OGT1_HUMAN,1.93E+05,1.57E+05,0,8.30E+04,0,0,0,1.12E+05,1.20E+05
sp|O15371|EIF3D_HUMAN,2.29E+05,1.80E+05,0,2.52E+05,0,0,0,2.11E+05,2.61E+05
sp|O15372|EIF3H_HUMAN,3.69E+05,3.72E+05,5.21E+03,2.51E+05,2.27E+04,4.63E+05,0,3.09E+05,2.40E+05
sp|O15514|RPB4_HUMAN,0,9.96E+04,0,1.57E+05,0,0,0,0,0
